Designator,Mid X,Mid Y,Layer,Rotation
C_5V1,224.699194,-89.929439,Bottom,0.000000
C_5V2,181.083218,-88.929439,Bottom,0.000000
C_PS1_IN1,181.183218,-83.984439,Bottom,0.000000
C_PS1_OUT1,186.353218,-83.929439,Bottom,0.000000
C_PS2_IN1,224.699194,-84.429439,Bottom,0.000000
C_PS2_OUT1,230.099194,-84.429439,Bottom,0.000000
C_VDD_U1_1,191.083218,-75.379439,Bottom,-90.000000
C_VDD_U1_2,193.083218,-75.429439,Bottom,-90.000000
C_VDD_U2_1,234.649194,-75.929439,Bottom,-90.000000
C_VDD_U2_2,236.649194,-75.929439,Bottom,-90.000000
C_VDD_U3_1,191.306570,-115.588503,Bottom,-90.000000
C_VDD_U3_2,193.306570,-115.363503,Bottom,-90.000000
C_VDD_U4_1,234.907953,-115.614440,Bottom,-90.000000
C_VDD_U4_2,236.907953,-115.664440,Bottom,-90.000000
C_B1,174.800000,-89.000000,Top,180.000000
C_B2,174.800000,-90.900000,Top,180.000000
C_INA_N1,184.400000,-101.200000,Top,0.000000
C_INA_N2,226.164695,-106.783932,Top,180.000000
C_INA_P1,184.400000,-92.100000,Top,0.000000
C_INA_P2,226.200000,-97.783932,Top,180.000000
C_VCCI_U1,176.583218,-76.204439,Top,-90.000000
C_VCCI_U2,219.649194,-76.929439,Top,-90.000000
C_VCCI_U3,176.583218,-115.878772,Top,-90.000000
C_VCCI_U4,219.799194,-115.838772,Top,-90.000000
D_LED_N1,192.582797,-108.703772,Top,180.000000
D_TVS1,173.665897,-108.198146,Top,0.000000
F1,174.703910,-100.125837,Top,90.000000
LED_N1,192.695297,-110.703772,Top,180.000000
LED_N2,217.883218,-108.840851,Top,0.000000
LED_P1,193.022988,-87.802675,Top,180.000000
LED_P2,217.596445,-87.690023,Top,0.000000
POWER,168.668212,-79.323440,Top,-90.000000
Q1,191.683218,-77.921939,Top,-90.000000
Q2,235.199194,-77.921939,Top,-90.000000
Q3,191.733218,-117.703772,Top,-90.000000
Q4,235.649194,-117.703772,Top,-90.000000
Q_RP1,175.262500,-93.500000,Top,0.000000
R_ALERT1,216.744902,-104.399763,Top,180.000000
R_CYC_GND1,168.000000,-108.300000,Top,0.000000
R_G_U1,191.683218,-74.921939,Top,0.000000
R_G_U2,235.199194,-74.921939,Top,0.000000
R_G_U3,191.733218,-114.703772,Top,0.000000
R_G_U4,235.649194,-114.703772,Top,0.000000
R_LED_N2,217.845718,-110.840851,Top,0.000000
R_LED_P1,192.985488,-89.802675,Top,180.000000
R_LED_P2,217.596445,-89.690023,Top,0.000000
R_LED_PWR1,166.668212,-79.285940,Top,-90.000000
R_RP1,174.800000,-96.100000,Top,0.000000
R_SCL1,193.569902,-94.399763,Top,0.000000
R_SDA1,193.569902,-96.899763,Top,0.000000
R_SH_N1,180.400000,-103.800000,Top,90.000000
R_SH_N2,230.343037,-104.483932,Top,-90.000000
R_SH_P1,180.400000,-95.000000,Top,90.000000
R_SH_P2,230.343037,-95.183932,Top,-90.000000
Rgpd_1,191.683218,-80.859439,Top,180.000000
Rgpd_2,235.374194,-80.921939,Top,180.000000
Rgpd_3,191.558218,-120.703772,Top,180.000000
Rgpd_4,235.649194,-120.703772,Top,180.000000
U_INA_N1,185.800000,-103.703772,Top,180.000000
U_INA_N2,224.843037,-104.300000,Top,0.000000
U_INA_P1,185.800000,-94.600000,Top,180.000000
U_INA_P2,224.843037,-95.300000,Top,0.000000
